tag,key_words,priority
项目延期,"延迟,推迟",3
存款准备金率下调,降准,3
国际制裁,制裁,3
进口关税调整,进口关税,3
板块点评,"行业深度报告,行业报告",3
舆论澄清,"澄清,辟谣,回应,否认",3
外盘上涨,溢价,3
舆论道歉,道歉,3
被认定技术中心,"技术中心认定,中心被认定",3
被认定重点企业,"认定试点企业,认定示范企业,认定重点企业,认定创新性企业,示范企业名单,企业入选",3
被认定重点项目,"重大工程,重点项目,重点建设项目",3
能源商品供需,原油,3
农副产品供需,"棉花,大豆,白糖",3
承担重点项目,承担重点,3
行业标准发布,标准获批准发布,3
获得奖项,"获奖,大奖,奖项,摘得桂冠,连冠,荣获",3
享受政府补贴,"减税,政府补贴,财政补贴",3
申请资质失败,"申请失败,申请被驳回",3
员工薪酬,"降薪,涨薪,工资,薪酬",3
专利授权,"发明专利,专利申请,专利登记,专利权",3
签约代言,代言人,3
年会召开,年会,3
量化宽松,宽松货币,3
负面舆论,负面消息,3
政治会议召开,召开政治会议,3
董事辞职,辞去董事,3
高管变更,"换帅,人员变更公告,人事调整,高管人事变动",3
高层婚姻危机,"绯闻,出轨,离婚,分手费,解除婚姻关系,前妻",3
机构增持,"机构加仓,机构大举加仓,机构持续加仓,机构资金",3
股东增持,"股东加仓,增持公司股份计划,增持股份计划,股东增持计划",3
司法仲裁,仲裁,3
业绩提高,"由亏转盈,扭亏为盈",3
业绩扭亏,由盈转亏,3
业绩亏损,收益亏损,3
网红经济,网红,3
外资增持,受到外资,3
交易异动,"鲸鱼,巨鲸",3
新产品发布,"新品发布,发布新,首次亮相,平台上线,推出,即将发布,主网预计",3
宏观就业,失业,3
举办论坛,高峰论坛,3
产品质量问题,投诉,3
机构减持,机构减仓,3
负面舆论,"遭舆论,风口浪尖,风波",3
一致行动人协议,一致行动人,3
巨头合作,"巨头联手,战略合作协议,深度合作",3
产品宣传,经济模型,3
项目启动,"开发新,新建",3
设立购买子公司,全资子公司,3
水旱灾害,"防汛,干旱",3
并购完成,并购通过,3
一带一路建设,一带一路,3
行政处罚,"罚款,拘留,责令",3
热门活动,"爆火,爆火,大热,热门",3
黑客攻击,"大规模攻击,黑客",3
投资者信心增加,"加杠杆,冒险情绪升温",3
个股上涨,暴涨,3
对外担保,担保,3
p2p,"P2P,网贷",3
网红经济,网红,3
期货多头情绪,空单爆仓,3
期货空头情绪,多单爆仓,3
加征税收,"征税,税务",3
产品调价 ,调价,3
政策完善,完善标准化,3
雄安新区建设,雄安,3
成分入选,"加入道琼斯,加入标普,加入科创板,加入恒生",3
政局动荡,"袭击,安全部队,空袭,军事介入,军事冲突",3
成分剔除,成分剔除,3
招标,"投标,竞标",3
政策推进,"新规,政策推动,政策实施,政策试点,财政部下拨",3
高管变动,"辞职,辞任,担任",3
个股创新低,"历史新低,股价新低,股价创新低",3
宏观就业,"就业人数,失业,非农",3
企业借款,借款,3
个股创新高,"历史新高,股价新高,股价创新高",3
资金周转困难,"流动性困难,资金链断裂",3
产品提价,"原材料提价,产品价格上涨",3
产品降价,"原材料降价,原料价格下跌,产品价格下跌",3
开展整治,专项整治,3
领导人选举,大选,3
导弹试射,试射导弹,3
技术创新,"原创设计,发明,升级",3
吸收投资,"吸收外商投资,战略投资,融资,筹款",3
产量冻结,停业,3
公司破产,破产,3
爆款,票房破,3
枪击事件,"枪击,故意杀人,枪手",3
挟持事件,"故意杀人,绑架,绑匪",3
短期融资券取消发行,"取消发行短期融资,短融中票取消",3
批评谴责,谴责,3
环保未达标,"生产废水,超标",3
监管部门询问,"问询函,监管函",3
意外事故,"发生爆炸,车祸,坠机",3
企业借款,"借款,贷款",2
网络信息安全,侵犯用户隐私,3
经济增速放缓,经济放缓,3
领导人,"习近平,总理,首相",3
大盘上涨,"全线走强,全线收涨",3
生产投产,"投入运行,产销",3
贸易顺差变化,贸易顺差,4
政策改革,"改革,政策变更,制定政策",4
授权经营,经营资质,4
市值增加,市值突破,4
一般认证许可,"授权,认证,行业认可,牌照",4
调查展开,"经调查,现场勘查,事故调查",4
政策出台,出台,4
内控整改,整改,4
经营范围变更,经营范围,4
项目进展,路线图,4
个股连板,连板,4
个股跌停,跌停,4
令牌空投捐赠,空投,4
令牌锁仓,锁仓,4
购买矿机,矿机,4
令牌回购销毁,回购销毁,4
交易所上线,上线交易所,4
央行数字货币,数字人民币,4
挖矿产量减半,产量减半,4
平台上线,主网上线,4
平台分叉,分叉,4
ETF,etf,4
个股涨停,涨停,4
债务危机,"债务,负债,老赖",4
限售股事项,限售股,4
明星分析师观点,分析师观点,4
行业会议召开,"博览会,座谈会,主办,承办,开幕,仪式,召开,举行,举办,闭幕",4
行业复苏,"产业复苏,助推产业",4
行业景气,"创新突破口,重要突破口,蓬勃发展",4
疫情,"死亡病例,确诊病例",4
高管辞职,大批辞职,5
个股下跌,暴跌,5
股东减持,股东减仓,5
项目中标,"中标,预中标",5
收到关注函,关注函,5
收到警示函,警示函,5
污染防治,生态环境,5
对外投资,斥资,5
股份增持,增持,5
股份减持,减持,5
